# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LE
# Instrument ID: SQM_LE-CTIO
# Data supplier: Guillermo Damke / NOIRLab
# Location name: Cerro Tololo/Chile
# Position: -30.168880556, -70.806176389, 2207
# Local timezone: UTC-3
# Time Synchronization: NTP
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: HOYA CM-500
# Measurement direction per channel: 0., 0.
# Field of view: 20
# Number of fields per line: 6
# SQM serial number: 6499
# SQM firmware version: 80
# SQM cover offset value: -0.11
# SQM readout test ix: i,00000004,00000003,00000080,00006499
# SQM readout test rx: r, 19.83m,0000000001Hz,0000428992c,0000000.931s, 026.4C
# SQM readout test cx: c,00000019.90m,0000300.000s, 020.9C,00000008.71m, 023.8C
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: Capture program: PySQM
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Temperature, Counts, Frequency, MSAS
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;number;Hz;mag/arcsec^2
# END OF HEADER
2025-01-01T23:55:51.000;2025-01-01T20:55:51.000;28.20;0.000;33652.667;8.593
2025-01-01T23:56:16.000;2025-01-01T20:56:16.000;28.10;0.000;31437.000;8.660
2025-01-01T23:56:41.000;2025-01-01T20:56:41.000;28.00;0.000;29487.000;8.726
2025-01-01T23:57:06.000;2025-01-01T20:57:06.000;28.00;0.000;27480.333;8.806
2025-01-01T23:57:31.000;2025-01-01T20:57:31.000;28.00;0.000;25772.333;8.873
2025-01-01T23:57:59.000;2025-01-01T20:57:59.000;28.00;0.000;23737.000;8.966
2025-01-01T23:58:25.000;2025-01-01T20:58:25.000;28.00;0.000;21991.667;9.050
2025-01-01T23:58:50.000;2025-01-01T20:58:50.000;28.00;0.000;20514.667;9.126
2025-01-01T23:59:18.000;2025-01-01T20:59:18.000;28.00;0.000;18888.667;9.213
2025-01-01T23:59:44.000;2025-01-01T20:59:44.000;28.00;0.000;17434.667;9.306
2025-01-02T00:00:06.000;2025-01-01T21:00:06.000;28.00;0.000;16306.333;9.373
2025-01-02T00:00:31.000;2025-01-01T21:00:31.000;28.00;0.000;15175.667;9.449
2025-01-02T00:00:56.000;2025-01-01T21:00:56.000;28.00;0.000;13959.333;9.543
2025-01-02T00:01:22.000;2025-01-01T21:01:22.000;28.00;0.000;12934.000;9.626
2025-01-02T00:01:47.000;2025-01-01T21:01:47.000;27.90;0.000;11894.667;9.713
2025-01-02T00:02:09.000;2025-01-01T21:02:09.000;28.00;0.000;11070.333;9.796
2025-01-02T00:02:34.000;2025-01-01T21:02:34.000;28.00;0.000;10239.667;9.879
2025-01-02T00:03:02.000;2025-01-01T21:03:02.000;27.80;0.000;9263.333;9.989
2025-01-02T00:03:28.000;2025-01-01T21:03:28.000;27.70;0.000;8490.667;10.083
2025-01-02T00:03:53.000;2025-01-01T21:03:53.000;27.70;0.000;7825.000;10.169
2025-01-02T00:04:21.000;2025-01-01T21:04:21.000;27.70;0.000;7074.667;10.279
2025-01-02T00:04:47.000;2025-01-01T21:04:47.000;27.70;0.000;6448.000;10.379
2025-01-02T00:05:09.000;2025-01-01T21:05:09.000;27.70;0.000;5972.333;10.463
2025-01-02T00:05:34.000;2025-01-01T21:05:34.000;27.70;0.000;5492.000;10.553
2025-01-02T00:05:59.000;2025-01-01T21:05:59.000;27.70;0.000;5008.000;10.653
2025-01-02T00:06:21.000;2025-01-01T21:06:21.000;27.70;0.000;4631.000;10.743
2025-01-02T00:06:46.000;2025-01-01T21:06:46.000;27.70;0.000;4251.000;10.836
2025-01-02T00:07:11.000;2025-01-01T21:07:11.000;27.70;0.000;3870.000;10.936
2025-01-02T00:07:36.000;2025-01-01T21:07:36.000;27.70;0.000;3549.000;11.023
2025-01-02T00:08:01.000;2025-01-01T21:08:01.000;27.70;0.000;3227.667;11.136
2025-01-02T00:08:26.000;2025-01-01T21:08:26.000;27.70;0.000;2957.667;11.223
2025-01-02T00:08:51.000;2025-01-01T21:08:51.000;27.57;0.000;2687.000;11.329
2025-01-02T00:09:16.000;2025-01-01T21:09:16.000;27.43;0.000;2460.000;11.429
2025-01-02T00:09:41.000;2025-01-01T21:09:41.000;27.43;0.000;2233.667;11.536
2025-01-02T00:10:03.000;2025-01-01T21:10:03.000;27.30;0.000;2058.000;11.619
2025-01-02T00:10:28.000;2025-01-01T21:10:28.000;27.30;0.000;1882.333;11.716
2025-01-02T00:10:53.000;2025-01-01T21:10:53.000;27.30;0.000;1706.000;11.823
2025-01-02T00:11:15.000;2025-01-01T21:11:15.000;27.30;0.000;1570.000;11.913
2025-01-02T00:11:40.000;2025-01-01T21:11:40.000;27.30;0.000;1433.667;12.013
2025-01-02T00:12:05.000;2025-01-01T21:12:05.000;27.30;0.000;1298.000;12.123
2025-01-02T00:12:30.000;2025-01-01T21:12:30.000;27.30;0.000;1184.667;12.219
2025-01-02T00:12:59.000;2025-01-01T21:12:59.000;27.30;0.000;1059.000;12.342
2025-01-02T00:13:25.000;2025-01-01T21:13:25.000;27.30;0.000;956.000;12.453
2025-01-02T00:13:47.000;2025-01-01T21:13:47.000;27.30;0.000;879.000;12.543
2025-01-02T00:14:12.000;2025-01-01T21:14:12.000;27.30;0.000;802.333;12.643
2025-01-02T00:14:37.000;2025-01-01T21:14:37.000;27.30;0.000;726.333;12.749
2025-01-02T00:14:59.000;2025-01-01T21:14:59.000;27.30;0.000;668.000;12.843
2025-01-02T00:15:24.000;2025-01-01T21:15:24.000;27.30;0.000;610.000;12.943
2025-01-02T00:15:52.000;2025-01-01T21:15:52.000;27.20;0.000;547.333;13.059
2025-01-02T00:16:21.000;2025-01-01T21:16:21.000;27.00;0.000;489.667;13.179
2025-01-02T00:16:50.000;2025-01-01T21:16:50.000;27.10;0.000;439.000;13.299
2025-01-02T00:17:16.000;2025-01-01T21:17:16.000;27.00;0.000;396.000;13.409
2025-01-02T00:17:41.000;2025-01-01T21:17:41.000;27.00;0.000;362.667;13.499
2025-01-02T00:18:07.000;2025-01-01T21:18:07.000;27.00;0.000;327.667;13.616
2025-01-02T00:18:32.000;2025-01-01T21:18:32.000;27.00;0.000;299.667;13.709
2025-01-02T00:18:57.000;2025-01-01T21:18:57.000;27.00;0.000;271.333;13.819
2025-01-02T00:19:22.000;2025-01-01T21:19:22.000;27.00;0.000;248.333;13.913
2025-01-02T00:19:50.000;2025-01-01T21:19:50.000;27.00;0.000;222.333;14.029
2025-01-02T00:20:16.000;2025-01-01T21:20:16.000;27.00;0.000;201.333;14.143
2025-01-02T00:20:38.000;2025-01-01T21:20:38.000;27.00;0.000;185.667;14.226
2025-01-02T00:21:03.000;2025-01-01T21:21:03.000;27.00;0.000;169.667;14.326
2025-01-02T00:21:28.000;2025-01-01T21:21:28.000;27.00;0.000;154.333;14.433
2025-01-02T00:21:50.000;2025-01-01T21:21:50.000;27.00;0.000;142.333;14.519
2025-01-02T00:22:12.000;2025-01-01T21:22:12.000;27.00;0.000;131.667;14.603
2025-01-02T00:22:34.000;2025-01-01T21:22:34.000;27.00;3785.333;121.667;14.679
2025-01-02T00:22:59.000;2025-01-01T21:22:59.000;27.00;4102.667;111.667;14.766
2025-01-02T00:23:24.000;2025-01-01T21:23:24.000;27.00;4556.333;102.000;14.883
2025-01-02T00:23:46.000;2025-01-01T21:23:46.000;27.00;4909.000;94.667;14.963
2025-01-02T00:24:11.000;2025-01-01T21:24:11.000;27.00;5366.000;86.667;15.056
2025-01-02T00:24:37.000;2025-01-01T21:24:37.000;26.80;5857.333;79.333;15.156
2025-01-02T00:24:59.000;2025-01-01T21:24:59.000;26.70;6280.667;73.667;15.233
2025-01-02T00:25:21.000;2025-01-01T21:25:21.000;26.70;6756.667;68.333;15.310
2025-01-02T00:25:43.000;2025-01-01T21:25:43.000;26.70;7237.667;64.333;15.383
2025-01-02T00:26:08.000;2025-01-01T21:26:08.000;26.70;7802.333;58.667;15.466
2025-01-02T00:26:33.000;2025-01-01T21:26:33.000;26.70;8519.333;54.000;15.556
2025-01-02T00:26:58.000;2025-01-01T21:26:58.000;26.70;9128.000;50.333;15.630
2025-01-02T00:27:24.000;2025-01-01T21:27:24.000;26.70;9902.333;46.333;15.723
2025-01-02T00:27:49.000;2025-01-01T21:27:49.000;26.70;10721.000;43.000;15.813
2025-01-02T00:28:14.000;2025-01-01T21:28:14.000;26.70;11580.000;39.667;15.896
2025-01-02T00:28:39.000;2025-01-01T21:28:39.000;26.70;12558.000;37.333;15.986
2025-01-02T00:29:05.000;2025-01-01T21:29:05.000;26.70;13497.000;34.667;16.056
2025-01-02T00:29:27.000;2025-01-01T21:29:27.000;26.70;14439.000;32.000;16.136
2025-01-02T00:29:49.000;2025-01-01T21:29:49.000;26.70;15393.667;30.333;16.206
2025-01-02T00:30:14.000;2025-01-01T21:30:14.000;26.70;16554.000;28.057;16.283
2025-01-02T00:30:43.000;2025-01-01T21:30:43.000;26.70;17907.000;25.889;16.366
2025-01-02T00:31:09.000;2025-01-01T21:31:09.000;26.70;19401.333;23.819;16.450
2025-01-02T00:31:31.000;2025-01-01T21:31:31.000;26.70;20561.333;22.406;16.516
2025-01-02T00:31:56.000;2025-01-01T21:31:56.000;26.70;22084.000;20.857;16.600
2025-01-02T00:32:21.000;2025-01-01T21:32:21.000;26.70;23623.333;19.487;16.673
2025-01-02T00:32:43.000;2025-01-01T21:32:43.000;26.70;25189.333;18.302;16.736
2025-01-02T00:33:08.000;2025-01-01T21:33:08.000;26.70;26875.333;17.255;16.810
2025-01-02T00:33:33.000;2025-01-01T21:33:33.000;26.70;28708.333;16.138;16.883
2025-01-02T00:33:55.000;2025-01-01T21:33:55.000;26.60;30365.333;15.241;16.940
2025-01-02T00:34:20.000;2025-01-01T21:34:20.000;26.60;32463.000;14.236;17.013
2025-01-02T00:34:46.000;2025-01-01T21:34:46.000;26.70;34968.667;13.224;17.090
2025-01-02T00:35:11.000;2025-01-01T21:35:11.000;26.50;37246.333;12.412;17.163
2025-01-02T00:35:40.000;2025-01-01T21:35:40.000;26.40;40155.000;11.460;17.253
2025-01-02T00:36:06.000;2025-01-01T21:36:06.000;26.40;43513.667;10.568;17.343
2025-01-02T00:36:28.000;2025-01-01T21:36:28.000;26.40;45810.333;10.074;17.400
